project,conditions,date,obs,time_off_ms,time_on_ms,displacement_nm,force,alyzer,index,hmm_state,num_windows,length_hz,start,stop,cp_found_start,cp_found_stop,is_positive,keep,cp_displacements,trap_stiffness,myo_stiffness,front_sigl_ratio,back_sigl_ratio,cp_time_on_dp,cp_time_on_ms,hm_event_start,hm_event_stop,cp_event_start_dp,cp_event_stop_dp,conversion,peak_nm_index
project_myoV-MINI,S217A ,44004,obs-01,16,582.4,6.253683188,0.125073664,hm-model/cp,4,2,143,2860,45707,48618,TRUE,TRUE,TRUE,TRUE,4.25420625,0.384209307,0.898241038,3.948893552,77.52993815,2912,582.4,2286,2428,45707,48618,20,9.5608
project_myoV-MINI,S217A ,44004,obs-01,16,1757.6,7.541541,0.15083082,hm-model/cp,3,2,437,8740,36890,45677,TRUE,TRUE,TRUE,TRUE,5.1303,0.312760208,0.850511665,5.522335231,2.124138538,8788,1757.6,1845,2281,36890,45677,20,9.0166
project_myoV-MINI,S217A ,44004,obs-01,2500,1785.2,15.86960197,0.317392039,hm-model/cp,2,2,442,8840,27933,36858,TRUE,TRUE,TRUE,TRUE,10.7956476,0.047638168,0.762871086,0.702449506,2.679642748,8926,1785.2,1399,1840,27933,36858,20,6.2136
project_myoV-MINI,S217A ,44004,obs-02,45,9591,24.810856,0.49621712,hm-model/cp,5,2,639,47925,26211,74165,TRUE,TRUE,TRUE,TRUE,16.87813333,0.029410064,0.104235572,1.756745335,0.488573978,47955,9591,351,989,26211,74165,75,11.0632
project_myoV-MINI,S217A ,44004,obs-02,30,910.6,26.523798,0.53047596,hm-model/cp,6,2,59,4425,74307,78859,TRUE,TRUE,TRUE,TRUE,18.0434,0.02312009,0.090613362,7.010827157,15.75541533,4553,910.6,992,1050,74307,78859,75,15.5768
project_myoV-MINI,S217A ,44004,obs-02,15,100.6,26.622876,0.53245752,hm-model/cp,2,2,6,450,3164,3666,TRUE,TRUE,TRUE,TRUE,18.1108,0.090466944,0.224389301,7.982667428,0.460975852,503,100.6,43,48,3164,3666,75,0.664
project_myoV-MINI,S217A ,44004,obs-02,45,452.4,28.35434,0.5670868,hm-model/cp,7,2,29,2175,78957,81218,TRUE,TRUE,TRUE,TRUE,19.28866667,0.016477809,0.08031485,2.534020263,3.013059134,2262,452.4,1054,1082,78957,81218,75,15.9346
project_myoV-MINI,S217A ,44004,obs-02,1065,278.6,43.42422236,0.868484447,hm-model/cp,3,2,19,1425,8968,10360,TRUE,TRUE,TRUE,TRUE,29.54028732,0.021709851,0.120316127,5.948838465,0.567467379,1393,278.6,120,138,8968,10360,75,1.8632
project_myoV-MINI,S217A ,44004,obs-03,860,878.4,28.06626815,0.561325363,hm-model/cp,4,2,219,4380,44884,49275,TRUE,TRUE,TRUE,TRUE,19.09269942,0.076925545,0.761619601,8.727726498,0.57439577,4392,878.4,2246,2464,44884,49275,20,9.3506
project_myoV-MINI,S217A ,44004,obs-04,1500,199.2,27.1459949,0.542919898,hm-model/cp,2,2,10,750,9977,10972,TRUE,TRUE,TRUE,TRUE,18.4666632,0.057235545,0.124206434,1.486022845,3.073721972,996,199.2,136,145,9977,10972,75,2.0706
project_myoV-MINI,S217A ,44004,obs-04,180,1278,37.43998728,0.748799746,hm-model/cp,3,2,84,6300,11747,18136,TRUE,TRUE,TRUE,TRUE,25.4693791,0.05725616,0.106098953,2.3980027,10.21405745,6390,1278,158,241,11747,18136,75,3.6046
project_myoV-MINI,S217A ,44004,obs-05,45,139.8,12.93392118,0.258678424,hm-model/cp,13,2,8,600,54319,55017,TRUE,TRUE,TRUE,TRUE,8.798585834,0.01676368,0.030197411,0.84865379,1.345948508,699,139.8,724,731,54319,55017,75,10.9172
project_myoV-MINI,S217A ,44004,obs-05,510,71.8,24.43016129,0.488603226,hm-model/cp,26,2,4,300,98991,99349,TRUE,TRUE,TRUE,TRUE,16.61915734,0.014188582,0.042989172,3.834899387,1.98249567,359,71.8,1320,1323,98991,99349,75,19.8498
project_myoV-MINI,S217A ,44004,obs-05,120,124.8,26.17814645,0.523562929,hm-model/cp,16,2,7,525,57520,58143,TRUE,TRUE,TRUE,TRUE,17.80826289,0.019184835,0.023886455,0.914853779,1.195807016,624,124.8,769,775,57520,58143,75,11.5816
project_myoV-MINI,S217A ,44004,obs-05,30,217.2,30.92488361,0.618497672,hm-model/cp,15,2,14,1050,55896,56981,TRUE,TRUE,TRUE,TRUE,21.03733579,0.032517967,0.029037636,0.230768034,1.303795785,1086,217.2,747,760,55896,56981,75,11.1896
project_myoV-MINI,S217A ,44004,obs-05,30,129,31.3875408,0.627750816,hm-model/cp,25,2,6,450,95815,96459,TRUE,TRUE,TRUE,TRUE,21.35206857,0.013372289,0.022217832,0.518870543,1.039523895,645,129,1280,1285,95815,96459,75,19.2562
project_myoV-MINI,S217A ,44004,obs-05,270,601.6,32.05900375,0.641180075,hm-model/cp,18,2,42,3150,60132,63139,TRUE,TRUE,TRUE,TRUE,21.80884609,0.01431756,0.021597753,0.621351802,0.476518309,3008,601.6,801,842,60132,63139,75,12.3808
project_myoV-MINI,S217A ,44004,obs-05,255,315,33.19851599,0.66397032,hm-model/cp,20,2,22,1650,65420,66994,TRUE,TRUE,TRUE,TRUE,22.58402448,0.013452135,0.026556651,1.774021568,2.643157011,1575,315,873,894,65420,66994,75,13.2874
project_myoV-MINI,S217A ,44004,obs-05,60,217.2,33.7911119,0.675822238,hm-model/cp,10,2,12,900,49218,50303,TRUE,TRUE,TRUE,TRUE,22.98715095,0.043324845,0.025164411,2.488423157,2.190631768,1086,217.2,658,669,49218,50303,75,10.0546
project_myoV-MINI,S217A ,44004,obs-05,225,133.6,35.35963704,0.707192741,hm-model/cp,35,2,5,375,146174,146841,TRUE,TRUE,TRUE,TRUE,24.05417486,0.016453819,0.021285612,0.972782007,0.600002138,668,133.6,1951,1955,146174,146841,75,29.31
project_myoV-MINI,S217A ,44004,obs-05,60,665.2,37.28497147,0.745699429,hm-model/cp,30,2,46,3450,106740,110065,TRUE,TRUE,TRUE,TRUE,25.36392617,0.014307169,0.023357674,0.68771994,1.309230081,3326,665.2,1423,1468,106740,110065,75,21.7582
project_myoV-MINI,S217A ,44004,obs-05,30,1109.6,37.54901015,0.750980203,hm-model/cp,22,2,72,5400,75946,81493,TRUE,TRUE,TRUE,TRUE,25.54354432,0.031671656,0.028128895,2.510295676,1.91726136,5548,1109.6,1014,1085,75946,81493,75,16.0308
project_myoV-MINI,S217A ,44004,obs-05,90,178.6,42.14955924,0.842991185,hm-model/cp,19,2,7,525,63455,64347,TRUE,TRUE,TRUE,TRUE,28.67316955,0.020921417,0.030299785,0.341291619,0.425859652,893,178.6,849,855,63455,64347,75,12.864
project_myoV-MINI,S217A ,44004,obs-05,3435,135.2,42.36315493,0.847263099,hm-model/cp,34,2,9,675,144581,145256,TRUE,TRUE,TRUE,TRUE,28.81847274,0.01335625,0.024175422,0.140388172,0.576499876,676,135.2,1927,1935,144581,145256,75,28.9336
project_myoV-MINI,S217A ,44004,obs-05,30,236.2,43.39569185,0.867913837,hm-model/cp,29,2,14,1050,105302,106482,TRUE,TRUE,TRUE,TRUE,29.52087881,0.065195424,0.024974916,4.447896246,2.29439395,1181,236.2,1405,1418,105302,106482,75,21.0708
project_myoV-MINI,S217A ,44004,obs-05,75,1539.4,43.69494519,0.873898904,hm-model/cp,24,2,99,7425,88239,95935,TRUE,TRUE,TRUE,TRUE,29.72445251,0.02085008,0.024800458,0.292255904,0.494745499,7697,1539.4,1179,1277,88239,95935,75,19.0736
project_myoV-MINI,S217A ,44004,obs-05,45,623.8,44.11137035,0.882227407,hm-model/cp,32,2,38,2850,110781,113899,TRUE,TRUE,TRUE,TRUE,30.00773493,0.033217195,0.024706513,1.731007904,2.640258834,3119,623.8,1480,1517,110781,113899,75,22.1614
project_myoV-MINI,S217A ,44004,obs-05,90,1251,46.22229736,0.924445947,hm-model/cp,23,2,82,6150,81683,87937,TRUE,TRUE,TRUE,TRUE,31.4437397,0.014388842,0.025225295,0.865543365,1.495459109,6255,1251,1092,1173,81683,87937,75,17.3354
project_myoV-MINI,S217A ,44004,obs-05,30,563.6,47.15336337,0.943067267,hm-model/cp,8,2,38,2850,39886,42703,TRUE,TRUE,TRUE,TRUE,32.07711794,0.029083259,0.032555998,7.166956139,4.771910668,2818,563.6,531,568,39886,42703,75,8.4038
project_myoV-MINI,S217A ,44004,obs-05,405,2385,49.38385748,0.98767715,hm-model/cp,3,2,158,11850,7560,19484,TRUE,TRUE,TRUE,TRUE,33.59446087,0.005382557,0.028417526,6.0519461,0.436024453,11925,2385,101,258,7560,19484,75,3.7754
project_myoV-MINI,S217A ,44004,obs-05,60,481.8,54.20195223,1.084039045,hm-model/cp,38,2,32,2400,153077,155485,TRUE,TRUE,TRUE,TRUE,36.87207635,0.016068606,0.024030693,0.849943501,0.692272564,2409,481.8,2042,2073,153077,155485,75,30.7696
project_myoV-MINI,S217A ,44004,obs-05,2595,103.4,57.63532397,1.152706479,hm-model/cp,33,2,7,525,126714,127230,TRUE,TRUE,TRUE,TRUE,39.20770338,0.012445034,0.02389947,1.851445873,1.435796653,517,103.4,1691,1697,126714,127230,75,25.4456
project_myoV-MINI,S217A ,44004,obs-05,750,541.4,83.43545295,1.668709059,hm-model/cp,6,2,34,2550,30549,33255,TRUE,TRUE,TRUE,TRUE,56.75881153,0.009082184,0.027573667,0.294506702,0.763070253,2707,541.4,409,442,30549,33255,75,6.651
project_myoV-MINI,S217A ,44004,obs-07,345,177.4,30.20452586,0.604090517,hm-model/cp,4,2,12,900,33764,34650,TRUE,TRUE,TRUE,TRUE,20.5472965,0.023937896,0.172530016,5.214845832,19.97926536,887,177.4,450,461,33764,34650,75,6.7784
project_myoV-MINI,S217A ,44004,obs-07,2385,619.4,35.46744024,0.709348805,hm-model/cp,3,2,40,3000,28868,31964,TRUE,TRUE,TRUE,TRUE,24.12751037,0.029959804,0.631730517,2.018250451,14.79510525,3097,619.4,387,426,28868,31964,75,5.827
project_myoV-MINI,S217A ,44009,obs-06,156,36.6,10.02072912,0.200414582,hm-model/cp,65,2,4,120,190707,190889,TRUE,TRUE,TRUE,TRUE,6.816822534,0.028685649,0.101326544,3.132932422,1.760807608,183,36.6,6359,6362,190707,190889,30,38.1678
project_myoV-MINI,S217A ,44009,obs-07,6,1006.8,10.588704,0.21177408,hm-model/cp,16,2,168,5040,67449,72482,TRUE,TRUE,TRUE,TRUE,7.2032,0.080929574,0.095276091,2.377361206,1.270168012,5034,1006.8,2248,2415,67449,72482,30,13.8218
project_myoV-MINI,S217A ,44009,obs-02,12,94.4,12.40248528,0.248049706,hm-model/cp,8,2,6,360,35076,35547,TRUE,TRUE,TRUE,TRUE,8.437064815,0.010563419,0.020526094,0.71275007,2.267604614,472,94.4,586,591,35076,35547,60,7.0508
project_myoV-MINI,S217A ,44009,obs-06,1140,98.4,12.51513697,0.250302739,hm-model/cp,17,2,13,390,86297,86788,TRUE,TRUE,TRUE,TRUE,8.513698616,0.030219425,0.070327343,1.985418953,0.688238938,492,98.4,2878,2890,86297,86788,30,17.3172
project_myoV-MINI,S217A ,44009,obs-06,30,76.6,13.95727516,0.279145503,hm-model/cp,58,2,10,300,169238,169620,TRUE,TRUE,TRUE,TRUE,9.494745004,0.027457312,0.098104658,1.314906474,1.408043715,383,76.6,5644,5653,169238,169620,30,33.8558
project_myoV-MINI,S217A ,44009,obs-07,90,36.8,14.547659,0.29095318,hm-model/cp,19,2,6,180,73558,73741,TRUE,TRUE,TRUE,TRUE,9.896366667,0.048940047,0.075687993,2.546686957,2.007765877,184,36.8,2452,2457,73558,73741,30,14.7314
project_myoV-MINI,S217A ,44009,obs-06,504,57.6,14.73027193,0.294605439,hm-model/cp,3,2,9,270,12785,13072,TRUE,TRUE,TRUE,TRUE,10.02059315,0.029639369,0.061690961,2.455828612,2.43680709,288,57.6,426,434,12785,13072,30,2.6136
project_myoV-MINI,S217A ,44009,obs-07,12,50.8,14.955486,0.29910972,hm-model/cp,18,2,4,120,72915,73168,TRUE,TRUE,TRUE,TRUE,10.1738,0.042301046,0.078378175,0.240123257,7.152585533,254,50.8,2433,2436,72915,73168,30,14.6146
project_myoV-MINI,S217A ,44009,obs-01,45,56.2,15.327592,0.30655184,hm-model/cp,20,2,4,300,34825,35105,TRUE,TRUE,TRUE,TRUE,10.42693333,0.012798079,0.027379857,1.437472799,3.35931354,281,56.2,464,467,34825,35105,75,6.9972
project_myoV-MINI,S217A ,44009,obs-04,750,69,15.3531504,0.307063008,hm-model/cp,7,2,3,225,29687,30031,TRUE,TRUE,TRUE,TRUE,10.44432,0.020900566,0.078861166,0.883401075,0.760103931,345,69,397,399,29687,30031,75,5.981
project_myoV-MINI,S217A ,44009,obs-04,120,33.6,15.46333425,0.309266685,hm-model/cp,11,2,2,150,47427,47594,TRUE,TRUE,TRUE,TRUE,10.519275,0.028436714,0.181567308,10.02006827,4.470842336,168,33.6,633,634,47427,47594,75,9.5162
