project,conditions,myosin type,Pi,Load,date,obs,time_off_ms,time_on_ms,displacement_nm,force,alyzer,index,hmm_state,num_windows,length_hz,start,start2,stop,cp_found_start,cp_found_stop,is_positive,keep,cp_displacements,trap_stiffness,myo_stiffness,front_sigl_ratio,back_sigl_ratio,cp_time_on_dp,cp_time_on_ms,hm_event_start,hm_event_stop,cp_event_start_dp,cp_event_stop_dp,conversion,peak_nm_index,time_to_peak_nm_ms,rate_to_peak_nm
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,360,74,3.185090148,0.127403606,hm-model/cp,188,2,6,300,539929,107.9858,540298,TRUE,TRUE,TRUE,TRUE,2.166727992,0.045916609,0.105840415,2.850466723,0.751312801,370,74,10798,10803,539929,540298,50,107.98,0,0
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,290,87.6,5.673950798,0.226958032,hm-model/cp,191,2,9,450,544074,108.8148,544511,TRUE,TRUE,TRUE,TRUE,3.859830475,0.035096546,0.137164292,2.054675112,1.277653127,438,87.6,10881,10889,544074,544511,50,108.81,0,0
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,510,106.8,2.907126462,0.116285058,hm-model/cp,257,2,11,550,682258,136.4516,682791,TRUE,TRUE,TRUE,TRUE,1.977637049,0.039330659,0.154468917,1.169978071,1.450659154,534,106.8,13645,13655,682258,682791,50,136.45,0,0
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,130,38,31.42370743,1.256948297,hm-model/cp,232,2,3,150,634578,126.9156,634767,TRUE,TRUE,TRUE,TRUE,21.37667172,0.032937165,0.208146787,1.039775068,1.762925963,190,38,12692,12694,634578,634767,50,126.92,4.4,227.2727273
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-04,855,67.6,26.4212539,1.056850156,hm-model/cp,8,2,5,375,34300,6.86,34637,TRUE,TRUE,TRUE,TRUE,17.97364211,0.023883602,0.149046849,1.079825799,2.594773676,338,67.6,457,461,34300,34637,75,6.8648,4.8,208.3333333
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-06,894,21.2,25.27471195,1.010988478,hm-model/cp,22,2,3,90,98633,19.7266,98738,TRUE,TRUE,TRUE,TRUE,17.1936816,0.028188311,0.097167792,1.259992176,7.056921264,106,21.2,3289,3291,98633,98738,30,19.7314,4.8,208.3333333
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,140,80.2,8.767848046,0.350713922,hm-model/cp,276,2,7,350,736575,147.315,736975,TRUE,TRUE,TRUE,TRUE,5.96452248,0.041043339,0.117582621,7.881512641,5.723878941,401,80.2,14732,14738,736575,736975,50,147.32,5,200
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,970,114.8,17.72878487,0.709151395,hm-model/cp,165,2,11,550,494125,98.825,494698,TRUE,TRUE,TRUE,TRUE,12.06039787,0.034829215,0.103011366,2.096388315,4.324499837,574,114.8,9883,9893,494125,494698,50,98.83,5,200
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-01,30,55.8,26.424426,1.05697704,hm-model/cp,50,2,3,225,93427,18.6854,93705,TRUE,TRUE,TRUE,TRUE,17.9758,0.005291444,0.024505521,1.32352724,1.34388709,279,55.8,1246,1248,93427,93705,75,18.6904,5,200
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-01,165,79.8,40.38333219,1.615333288,hm-model/cp,68,2,4,300,153366,30.6732,153764,TRUE,TRUE,TRUE,TRUE,27.47165455,0.006360727,0.029315839,1.812161181,4.16438057,399,79.8,2046,2049,153366,153764,75,30.6782,5,200
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-06,198,95,20.21982752,0.808793101,hm-model/cp,34,2,15,450,135226,27.0452,135700,TRUE,TRUE,TRUE,TRUE,13.75498471,0.029839646,0.083063588,2.795183512,2.913610133,475,95,4508,4522,135226,135700,30,27.0502,5,200
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-04,705,48.8,16.44729204,0.657891682,hm-model/cp,5,2,4,300,23336,4.6672,23579,TRUE,TRUE,TRUE,TRUE,11.18863404,0.019867827,0.137635873,2.244913098,3.503201672,244,48.8,311,314,23336,23579,75,4.6722,5,200
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,310,38.2,18.31125398,0.732450159,hm-model/cp,126,2,3,150,392375,78.475,392565,TRUE,TRUE,TRUE,TRUE,12.45663536,0.042710628,0.17098994,3.484436591,0.926207052,191,38.2,7848,7850,392375,392565,50,78.48,5,200
