myo,pi,power,displacement_nm,time_on_ms,force
S217A,0mM-Pi,1.5-W,3.185090148,74,0.12740360592
S217A,0mM-Pi,1.5-W,5.673950798,87.6,0.22695803192
S217A,0mM-Pi,1.5-W,2.907126462,106.8,0.11628505848
S217A,0mM-Pi,1.5-W,31.42370743,38,1.2569482972
S217A,0mM-Pi,1.5-W,26.4212539,67.6,1.056850156
S217A,0mM-Pi,1.5-W,25.27471195,21.2,1.010988478
S217A,0mM-Pi,1.5-W,8.767848046,80.2,0.35071392184
S217A,0mM-Pi,1.5-W,17.72878487,114.8,0.7091513948
S217A,0mM-Pi,1.5-W,26.424426,55.8,1.05697704
S217A,0mM-Pi,1.5-W,40.38333219,79.8,1.6153332876
S217A,0mM-Pi,1.5-W,20.21982752,95,0.8087931008
S217A,0mM-Pi,1.5-W,16.44729204,48.8,0.6578916816
S217A,0mM-Pi,1.5-W,18.31125398,38.2,0.7324501592
S217A,0mM-Pi,1.5-W,23.0722151,33.8,0.922888604
S217A,0mM-Pi,1.5-W,34.8711195,175.8,1.39484478
S217A,0mM-Pi,1.5-W,44.11137035,623.8,1.764454814
S217A,0mM-Pi,1.5-W,4.054121142,146.2,0.16216484568
S217A,0mM-Pi,1.5-W,28.96873246,105,1.1587492984
S217A,0mM-Pi,1.5-W,52.64829671,27,2.1059318684
S217A,0mM-Pi,1.5-W,10.12618124,43.6,0.4050472496
S217A,0mM-Pi,1.5-W,2.428797913,83.4,0.09715191652
S217A,0mM-Pi,1.5-W,41.6787251,21.4,1.667149004
S217A,0mM-Pi,1.5-W,43.10496484,33.8,1.7241985936
S217A,0mM-Pi,1.5-W,13.95727516,76.6,0.5582910064
S217A,0mM-Pi,1.5-W,43.76015795,22.2,1.750406318
S217A,0mM-Pi,1.5-W,35.51815776,32.6,1.4207263104
S217A,0mM-Pi,1.5-W,17.5282588,37.6,0.701130352
S217A,0mM-Pi,1.5-W,64.8412002,32.4,2.593648008
S217A,0mM-Pi,1.5-W,57.56621699,31.8,2.3026486796
S217A,0mM-Pi,1.5-W,32.16629288,189,1.2866517152
S217A,0mM-Pi,1.5-W,35.2520315,39,1.41008126
S217A,0mM-Pi,1.5-W,26.99218388,24.4,1.0796873552
S217A,0mM-Pi,1.5-W,33.74091,203.6,1.3496364
S217A,0mM-Pi,1.5-W,43.39569185,236.2,1.735827674
S217A,0mM-Pi,1.5-W,21.71636687,58,0.8686546748
S217A,0mM-Pi,1.5-W,30.92488361,217.2,1.2369953444
S217A,0mM-Pi,1.5-W,35.91339522,31.8,1.4365358088
S217A,0mM-Pi,1.5-W,12.50690061,82,0.5002760244
S217A,0mM-Pi,1.5-W,32.92214251,33.6,1.3168857004
S217A,0mM-Pi,1.5-W,8.819191093,314.8,0.35276764372
S217A,0mM-Pi,1.5-W,56.5248444,58,2.260993776
S217A,0mM-Pi,1.5-W,43.36547309,12.4,1.7346189236
S217A,0mM-Pi,1.5-W,69.30497105,104.4,2.772198842
